verb,frequency
said,1943
made,1119
make,765
see,727
get,719
know,676
came,621
used,610
go,604
come,589
take,573
found,536
went,506
say,476
got,471
United,463
think,427
took,425
put,424
thought,412
told,411
called,396
knew,395
find,392
going,389
asked,382
give,377
given,371
looked,366
become,359
felt,356
saw,346
left,334
seemed,333
set,320
turned,320
want,317
done,312
began,312
let,286
gave,285
taken,279
seen,276
look,268
held,259
brought,253
seems,252
became,245
tell,245
known,245
keep,244
heard,240
making,231
seem,229
wanted,226
provide,214
use,214
stood,212
like,211
help,209
feel,201
believe,199
show,199
started,194
says,193
gone,190
leave,188
needed,187
expected,186
kept,186
required,181
wrote,181
moved,181
work,179
following,177
lost,173
followed,172
added,171
tried,170
developed,169
reached,169
read,167
shown,166
makes,164
received,163
living,161
cut,161
doing,159
walked,159
coming,158
taking,158
mean,158
passed,157
need,157
getting,156
looking,156
bring,156
live,155
run,154
trying,154
written,153
hear,151
considered,150
sat,149
working,148
involved,147
happened,146
paid,144
sent,143
increased,141
decided,141
showed,141
meet,140
turn,138
hold,137
understand,137
concerned,135
appeared,135
comes,133
continued,133
ran,132
move,132
opened,131
call,131
led,130
pay,130
using,130
met,129
stopped,129
worked,128
provided,128
lay,128
placed,126
try,125
carried,124
described,120
remember,120
reported,119
served,119
determined,119
appear,117
ask,116
based,116
running,116
returned,115
obtained,115
gives,114
lived,113
learned,112
saying,112
talk,111
include,111
play,109
born,109
indicated,108
established,108
stand,107
expect,107
speak,107
designed,106
consider,106
remained,106
applied,106
continue,105
write,105
growing,105
spent,104
covered,104
closed,104
becomes,104
serve,103
played,103
means,103
married,102
suggested,102
limited,102
prepared,102
raised,101
waiting,101
dropped,101
hit,101
built,101
thinking,101
interested,100
moving,100
meant,100
filled,99
related,98
knows,98
talking,98
caught,97
entered,97
changed,95
accepted,94
included,94
stay,93
remain,93
determine,92
giving,91
fell,91
reach,91
standing,91
Let,91
produced,90
follow,90
caused,90
start,90
goes,89
noted,89
announced,88
carry,88
sitting,88
develop,88
takes,86
allowed,86
spoke,86
finished,86
wish,86
died,86
require,85
published,85
marked,84
reading,84
appears,84
stated,84
playing,84
stop,84
offered,83
build,83
learn,83
prevent,83
remembered,83
proposed,82
begin,82
increase,82
named,82
presented,82
operating,81
agreed,81
fixed,81
provides,81
created,81
watched,81
recognized,80
explained,80
indicate,80
leaving,80
studied,79
forced,79
add,79
lead,79
mentioned,79
enter,78
picked,78
reduced,77
laid,77
believed,77
receive,76
change,76
formed,76
follows,76
beginning,76
treated,75
care,75
killed,75
stayed,75
removed,75
act,74
writing,74
expressed,74
failed,74
remains,74
observed,74
produce,73
selected,73
discovered,73
pulled,73
seeing,73
shows,73
pointed,72
planning,72
planned,72
assumed,72
return,72
watching,72
accept,71
increasing,71
chosen,71
proved,71
smiled,71
allow,70
send,70
realize,69
seek,69
looks,69
waited,69
ordered,69
realized,69
suppose,69
won,68
completed,68
carrying,68
buy,68
compared,68
settled,68
drawn,68
wait,67
offer,67
asking,67
occurred,67
answered,67
directed,66
declared,66
helped,66
hope,66
broke,66
permit,65
leading,65
estimated,65
gets,65
supposed,65
wore,65
measured,65
hung,65
fall,65
discussed,64
break,64
sit,64
wants,64
grew,64
pass,63
walk,63
explain,63
happen,63
located,63
drew,63
training,63
broken,63
grow,63
reduce,62
arrived,62
achieved,62
spread,62
recognize,62
assume,62
starting,60
rising,60
existing,60
join,60
drove,60
refused,60
contained,60
maintain,60
rose,60
stared,60
kill,59
ended,59
headed,59
struck,59
needs,59
finds,59
feed,59
exist,59
eat,59
holding,59
establish,58
talked,58
understood,58
liked,58
lose,58
wondered,58
charged,57
permitted,57
showing,57
continuing,57
enjoyed,57
associated,57
die,57
requires,57
turning,57
shook,57
informed,56
passing,56
repeated,56
apply,56
surprised,56
avoid,56
organized,56
bought,56
represented,56
entitled,56
loved,56
conducted,55
sought,55
joined,55
replied,55
extended,55
regarded,55
begins,55
opening,55
open,55
save,55
wished,55
keeping,54
attend,54
supported,54
win,54
cutting,54
divided,54
support,54
improved,54
trained,54
granted,53
place,53
providing,53
pushed,53
building,53
prove,53
fighting,53
love,53
spend,53
assigned,53
suggest,53
create,53
imagine,53
becoming,53
experienced,52
introduced,52
cause,52
forget,52
lie,52
achieve,51
face,51
cover,51
developing,51
agree,51
advanced,51
fit,51
begun,51
putting,51
nodded,51
laughed,51
issued,50
detailed,50
remove,50
form,50
faced,50
walking,50
visit,50
devoted,50
desired,50
noticed,50
employed,49
fill,49
stands,49
depends,49
watch,49
taught,49
convinced,49
guess,49
shot,48
destroy,48
learning,48
rise,48
choose,48
hoped,48
operate,48
pick,48
rolled,48
swung,48
maintained,48
denied,47
knowing,47
sold,47
deny,47
raise,47
acting,47
result,47
recommended,46
teaching,46
engaged,46
identified,46
driving,46
threw,46
wearing,46
promised,45
